id,title,text
1,425 Mass,"First-class amenities and services make 425 Mass apartments a place you'll be proud to call home. Located in the Mt. Vernon Triangle, 425 Mass is downtown Washington DC's first smoke-free apartment community. Spectacular views of the Washington Monument or the Capital are complemented by sleek design, upscale fixtures, high ceilings, rooftop pools with private garden retreats and resort-style lounge areas along the D.C. skyline. Our convenient location is walking distance to the Metro, shopping and restaurants. The Capitol, K Street, Penn Quarter, Chinatown, Judiciary Square and Gallery Place are right outside your door. A Capital Bikeshare station is located directly across the street."
2,Courtland Towers,"Come experience quality apartments in Northern Virginia designed with you in mind. Courtland Towers offers a wide variety of apartment designs including breathtaking views of DC and oversized floor plans. Conveniently located in the Courthouse neighborhood, Courtland Towers is just one block from the Court House Metro station. Great restaurants, shops and a weekly farmers market are just a few of the many neighborhood amenities just a short walk away. Enjoy a workout in our newly renovated fitness center, play racquetball or basketball at either of our indoor courts, enjoy a movie in our private theater room or relax at either of our two pools. Courthouse apartments also have the distinction of being located in the vibrant seat of the Arlington County government!"
3,Cavalier Court,"Conveniently located close to George Mason University. Metro and CUE bus stop just outside the property providing service to Vienna Metrorail Station (Orange Line), George Mason University and Fairfax City. Just blocks to grocery, retail shopping and restaurants. Full size washer/dryer in each unit! Enjoy our state-of-the-art fitness center or travel just 1.5 miles to Oak Marr Recreation Center with an indoor pool. Enjoy everything that these Fairfax apartments have to offer! "
4,The District,"The District is a spectacular seven-story apartment building in Washington DC's Logan Circle neighborhood. A collaboration between Shalom Baranes Associates and renowned Toronto-based interior design firm, Cecconi Simone have created 125 gorgeous homes with interior finishes that are sure to impress. Amenities includes a lobby lounge, fitness center, and extensive rooftop terrace featuring outdoor living rooms, an outdoor kitchen and bar, a fire pit, water feature and sundeck."
5,Archstone Connecticut Heights,"Archstone Connecticut Heights Apartments in Washington, DC offers a choice of vintage-style, mid-rise apartments with old-world charm or modern, high-rise living. Located right on Connecticut Avenue, you'll have the Metrobus at your front door and will be walking distance to Van Ness Metro. Enjoy the nearby jogging and biking trails at Rock Creek Park or stay home and enjoy our outdoor swimming pool with sundeck, heated indoor pool, state-of-the-art fitness center, tennis courts and concierge service. Our spacious apartments include brand new kitchens with premium appliances, designer baths with marble vanities, and large picture windows. All utilities are included except electricity."
6,Townhomes on Capitol Hill,"Nowhere in the Capitol Hill neighborhood will you find a CO-OP residence that offers a more perfect blend of urban convenience and contemporary living than here at The Townhomes on Capitol Hill. This is no ordinary community. Set on 5 acres of professionally designed and landscaped grounds, The Townhomes offer spectacular homes of one, two, and three bedrooms. These residences combine fanciful facades with spacious bright interiors to make for a living experience that is nothing short of wonderful! The design excellence of The Townhomes on Capitol Hill received national attention when the American Institute of Architects selected this new community for a 1998 Honor Award for Urban Design. The Townhomes on Capitol Hill is a mixed-income cooperative with a minimum 12-month commitment."
7,The Colonnade,"This stunning and sun-filled 1+BR, 1.5BA condo has large balcony overlooking Glover Park, includes garage parking, separate dining room that could be used as office or second bedroom and lots of closet space. This truly luxury property features Olympic-size pool, fitness center, dry-cleaners, beauty salon, doormen, 24/7 reception desk, guest valet parking + more. Private, country club living in the city; minutes to downtown DC and very convenient location to VA & MD. "
8,The Avery,"The Avery offers an enticing new opportunity for luxury condominiums in Arlington. Every detail has been designed for sophisticated, contemporary tastes and modern needs. These large residences feature generous entertainment space and light-filled corner homes as well as private patios, balconies and rooftop decks.
Secluded in feel, your home here is nevertheless surrounded by the best this world-class city has to offer. From morning jogs along the Potomac to the variety of dining options in the area to easy access to Georgetown and all downtown Washington offers, this is so much more than a condominium in Arlington. This is one of the DC area’s most perfectly located homes."
9,"Washington Fine Properties, LLC","Washington Fine Properties (WFP) is recognized as one of the most successful carriage-trade real estate firms in the United States. One hundred of the most powerful agents in the Nation's Capital Region combine their expertise to provide unequalled brokerage services to both buyers and sellers. WFP dominates the higher end of the market by listing and selling many homes over $1,000,000, and also has a strong footing in the listing and sales of homes in all price ranges."
10,Central Properties,"Central Properties launched with the idea that clients should be able to go to one place for all of their real estate needs. We have diversified experience and offer services across all aspects of real estate, and we take a regional approach. This not only increases convenience for our clients, it means that we have you covered as you navigate the complexities of the markets in the DC, MD and VA region.
We care about our clients, and the surrounding community. We also bring a unique tailored approach to everything we do so that you can be confident that you’re getting best service and value for your money. When you do business with us, whether buying, selling, managing property, or completing a transaction as a third-party agent, we promise that the experience will always be superior."
11,Georgetown,"Georgetown University is one of the world’s leading academic and research institutions, offering a unique educational experience that prepares the next generation of global citizens to lead and make a difference in the world. We are a vibrant community of exceptional students, faculty, alumni and professionals dedicated to real-world applications of our research, scholarship, faith and service.
Established in 1789, Georgetown is the nation’s oldest Catholic and Jesuit university. Drawing upon this legacy, we provide students with a world-class learning experience focused on educating the whole person through exposure to different faiths, cultures and beliefs.  With our Jesuit values and location in Washington, D.C., Georgetown offers students a distinct opportunity to learn, experience and understand more about the world."
